time(s) ang_vel_x ang_vel_y ang_vel_z lin_acc_x lin_acc_y lin_acc_z orientation_x orientation_y orientation_z sensor_range
0.233333 -0.000000 0.000000 0.000000 -0.854131 -0.000000 9.762705 -0.000000 0.000000 0.000000 1.440952
0.266667 -0.000000 0.000000 0.000000 -0.854131 -0.000000 9.762705 -0.000000 0.000000 0.000000 1.436162
0.300000 -0.000000 0.000000 0.000000 -0.854131 -0.000000 9.762705 -0.000000 0.000000 0.000000 1.436162
0.333333 0.000000 0.000000 -0.000000 -0.854132 0.000000 9.762708 -0.000000 0.000000 0.000000 1.445114
0.366667 0.000000 0.000000 -0.000000 -0.854132 0.000000 9.762708 -0.000000 0.000000 0.000000 1.436346
0.400000 0.000000 0.000000 -0.000000 -0.854132 0.000000 9.762708 -0.000000 0.000000 0.000000 1.430850
0.433333 -0.000000 0.000000 0.000000 -0.854132 -0.000000 9.762708 -0.000000 0.000000 0.000000 1.434302
0.466667 -0.000000 0.000000 0.000000 -0.854132 -0.000000 9.762708 -0.000000 0.000000 0.000000 1.437638
0.500000 -0.000000 0.000000 0.000000 -0.854132 -0.000000 9.762708 -0.000000 0.000000 0.000000 1.436557
0.533333 -0.000000 -0.000000 0.000000 -0.854132 0.000000 9.762708 -0.000000 0.000000 0.000000 1.446614
0.566667 -0.000000 -0.000000 0.000000 -0.854132 0.000000 9.762708 -0.000000 0.000000 0.000000 1.440201
0.600000 -0.000000 -0.000000 0.000000 -0.854132 0.000000 9.762708 -0.000000 0.000000 0.000000 1.434275
0.633333 -0.122424 0.000000 1.399307 -0.016752 -26.875238 9.835974 -0.001053 0.000000 0.012034 1.440628
0.666667 -0.122424 0.000000 1.399307 -0.016752 -26.875238 9.835974 -0.001053 0.000000 0.012034 2.000035
0.700000 -0.122424 0.000000 1.399307 -0.016752 -26.875238 9.835974 -0.001053 0.000000 0.012034 1.994217
0.733333 -0.431708 0.000000 4.934418 13.840598 -17.596669 11.048337 -0.015504 0.000000 0.177211 1.994390
0.766667 -0.431708 0.000000 4.934418 13.840598 -17.596669 11.048337 -0.015504 0.000000 0.177211 1.998422
0.800000 -0.431708 0.000000 4.934418 13.840598 -17.596669 11.048337 -0.015504 0.000000 0.177211 2.003458
0.833333 -0.540723 0.000000 6.180452 23.930312 -0.284966 11.931074 -0.039472 0.000000 0.451160 1.990630
0.866667 -0.540723 0.000000 6.180452 23.930312 -0.284966 11.931074 -0.039472 0.000000 0.451160 1.996325
0.900000 -0.540723 0.000000 6.180452 23.930312 -0.284966 11.931074 -0.039472 0.000000 0.451160 1.996325
